Datum,Vorhergesagter_Wert,Wert,Produkt_Code,SDO_ID
2020-12-27,,-0.100,OBS_DEU_P1D_T2M,1048
2020-12-28,,1.900,OBS_DEU_P1D_T2M,1048
2020-12-29,,2.300,OBS_DEU_P1D_T2M,1048
2020-12-30,,2.600,OBS_DEU_P1D_T2M,1048
2020-12-31,,1.500,OBS_DEU_P1D_T2M,1048
2021-01-01,,1.700,OBS_DEU_P1D_T2M,1048
2021-01-02,,1.400,OBS_DEU_P1D_T2M,1048
2021-01-03,,0.400,OBS_DEU_P1D_T2M,1048
2021-01-04,,0.200,OBS_DEU_P1D_T2M,1048
2021-01-05,,0.100,OBS_DEU_P1D_T2M,1048
2021-01-06,,0.400,OBS_DEU_P1D_T2M,1048
2021-01-07,,0.500,OBS_DEU_P1D_T2M,1048
2021-01-08,,0.300,OBS_DEU_P1D_T2M,1048
2021-01-09,,-0.400,OBS_DEU_P1D_T2M,1048
2021-01-10,,-1.300,OBS_DEU_P1D_T2M,1048
2021-01-11,,-1.900,OBS_DEU_P1D_T2M,1048
2021-01-12,,1.000,OBS_DEU_P1D_T2M,1048
2021-01-13,,1.000,OBS_DEU_P1D_T2M,1048
2021-01-14,,-0.500,OBS_DEU_P1D_T2M,1048
2021-01-15,,-1.300,OBS_DEU_P1D_T2M,1048
2021-01-16,,-4.400,OBS_DEU_P1D_T2M,1048
2021-01-17,,-4.500,OBS_DEU_P1D_T2M,1048
2021-01-18,,-1.600,OBS_DEU_P1D_T2M,1048
2021-01-19,,2.900,OBS_DEU_P1D_T2M,1048
2021-01-20,,6.500,OBS_DEU_P1D_T2M,1048
2021-01-21,,6.700,OBS_DEU_P1D_T2M,1048
2021-01-22,,6.500,OBS_DEU_P1D_T2M,1048
2021-01-23,,0.900,OBS_DEU_P1D_T2M,1048
2021-01-24,,-0.100,OBS_DEU_P1D_T2M,1048
2021-01-25,,-0.400,OBS_DEU_P1D_T2M,1048
2021-01-26,,-0.600,OBS_DEU_P1D_T2M,1048
2021-01-27,,0.200,OBS_DEU_P1D_T2M,1048
2021-01-28,,1.600,OBS_DEU_P1D_T2M,1048
2021-01-29,,-0.400,OBS_DEU_P1D_T2M,1048
2021-01-30,,-1.000,OBS_DEU_P1D_T2M,1048
2021-01-31,,-3.800,OBS_DEU_P1D_T2M,1048
2021-02-01,,-1.000,OBS_DEU_P1D_T2M,1048
2021-02-02,,3.200,OBS_DEU_P1D_T2M,1048
2021-02-03,,8.300,OBS_DEU_P1D_T2M,1048
2021-02-04,,5.800,OBS_DEU_P1D_T2M,1048
2021-02-05,,2.000,OBS_DEU_P1D_T2M,1048
2021-02-06,,-0.900,OBS_DEU_P1D_T2M,1048
2021-02-07,,-6.700,OBS_DEU_P1D_T2M,1048
2021-02-08,,-9.600,OBS_DEU_P1D_T2M,1048
2021-02-09,,-11.400,OBS_DEU_P1D_T2M,1048
2021-02-10,,-12.300,OBS_DEU_P1D_T2M,1048
2021-02-11,,-7.300,OBS_DEU_P1D_T2M,1048
2021-02-12,,-7.500,OBS_DEU_P1D_T2M,1048
2021-02-13,,-8.600,OBS_DEU_P1D_T2M,1048
2021-02-14,,-7.000,OBS_DEU_P1D_T2M,1048
2021-02-15,,-6.100,OBS_DEU_P1D_T2M,1048
2021-02-16,,-0.100,OBS_DEU_P1D_T2M,1048
2021-02-17,,4.900,OBS_DEU_P1D_T2M,1048
2021-02-18,,6.800,OBS_DEU_P1D_T2M,1048
2021-02-19,,6.400,OBS_DEU_P1D_T2M,1048
2021-02-20,,7.000,OBS_DEU_P1D_T2M,1048
2021-02-21,,4.800,OBS_DEU_P1D_T2M,1048
2021-02-22,,5.100,OBS_DEU_P1D_T2M,1048
2021-02-23,,7.300,OBS_DEU_P1D_T2M,1048
2021-02-24,,9.100,OBS_DEU_P1D_T2M,1048
2021-02-25,,10.600,OBS_DEU_P1D_T2M,1048
2021-02-26,,5.000,OBS_DEU_P1D_T2M,1048
2021-02-27,,3.000,OBS_DEU_P1D_T2M,1048
2021-02-28,,4.400,OBS_DEU_P1D_T2M,1048
2021-03-01,,2.300,OBS_DEU_P1D_T2M,1048
2021-03-02,,4.400,OBS_DEU_P1D_T2M,1048
2021-03-03,,3.800,OBS_DEU_P1D_T2M,1048
2021-03-04,,4.100,OBS_DEU_P1D_T2M,1048
2021-03-05,,1.000,OBS_DEU_P1D_T2M,1048
2021-03-06,,1.000,OBS_DEU_P1D_T2M,1048
2021-03-07,,1.800,OBS_DEU_P1D_T2M,1048
2021-03-08,,1.300,OBS_DEU_P1D_T2M,1048
2021-03-09,,0.700,OBS_DEU_P1D_T2M,1048
2021-03-10,,2.700,OBS_DEU_P1D_T2M,1048
2021-03-11,,6.300,OBS_DEU_P1D_T2M,1048
2021-03-12,,6.800,OBS_DEU_P1D_T2M,1048
2021-03-13,,7.100,OBS_DEU_P1D_T2M,1048
2021-03-14,,4.900,OBS_DEU_P1D_T2M,1048
2021-03-15,,3.800,OBS_DEU_P1D_T2M,1048
2021-03-16,,3.200,OBS_DEU_P1D_T2M,1048
2021-03-17,,1.400,OBS_DEU_P1D_T2M,1048
2021-03-18,,0.700,OBS_DEU_P1D_T2M,1048
2021-03-19,,0.000,OBS_DEU_P1D_T2M,1048
2021-03-20,,-1.800,OBS_DEU_P1D_T2M,1048
2021-03-21,,2.800,OBS_DEU_P1D_T2M,1048
2021-03-22,,3.600,OBS_DEU_P1D_T2M,1048
2021-03-23,,4.400,OBS_DEU_P1D_T2M,1048
2021-03-24,,7.100,OBS_DEU_P1D_T2M,1048
2021-03-25,,9.000,OBS_DEU_P1D_T2M,1048
2021-03-26,,10.100,OBS_DEU_P1D_T2M,1048
2021-03-27,,7.200,OBS_DEU_P1D_T2M,1048
2021-03-28,,7.100,OBS_DEU_P1D_T2M,1048
2021-03-29,,13.400,OBS_DEU_P1D_T2M,1048
2021-03-30,,14.800,OBS_DEU_P1D_T2M,1048
2021-03-31,,14.800,OBS_DEU_P1D_T2M,1048
2021-04-01,,12.700,OBS_DEU_P1D_T2M,1048
2021-04-02,,5.600,OBS_DEU_P1D_T2M,1048
