"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"5100","Trier-Petrisberg","6,6583","49,7479","261.0","https://cdc.dwd.de/rest/metadata/station/html/812300228391"
"3761","Öhringen","9,5176","49,2070","276.0","https://cdc.dwd.de/rest/metadata/station/html/812300008167"
"1048","Dresden-Klotzsche","13,7543","51,1278","228.0","https://cdc.dwd.de/rest/metadata/station/html/812300059367"
"5705","Würzburg","9,9576","49,7704","268.0","https://cdc.dwd.de/rest/metadata/station/html/812300016295"
"1580","Geisenheim","7,9548","49,9859","111.0","https://cdc.dwd.de/rest/metadata/station/html/812300122983"
"5906","Mannheim","8,5584","49,5063","98.0","https://cdc.dwd.de/rest/metadata/station/html/812300837863"
"1327","Weilerswist-Lommersum","6,7905","50,7119","147.0","https://cdc.dwd.de/rest/metadata/station/html/812300401831"
"6258","Friedrichshafen-Unterraderach","9,4409","47,6845","461.0","https://cdc.dwd.de/rest/metadata/station/html/812300544039"
"1443","Freiburg","7,8343","48,0232","236.0","https://cdc.dwd.de/rest/metadata/station/html/812300590823"
"5426","Weinbiet","8,1212","49,3758","553.0","https://cdc.dwd.de/rest/metadata/station/html/812300934567"
